ID,GENDER,JOB,A0101,A0102,A0103,A0104,A0105,A0106,A0201,A0202,A0203,A0204,A0205,A0206,A0301,A0302,A0303,A0304,A0401,A0402,A0403,B0101,B0102,B0103,B0104,B0105,B0106,B0107,B0108,B0201,B0202,B0203,B0204,B0205,B0206,B0301,B0302,B0303,B0304,B0401,B0402,B0403,C0101,C0102,C0103,C0104,C0105,C0106,C0107,C0201,C0202,C0203,C0204,C0205,C0301,C0302,C0303,C0304,C0401,C0402,C0403,C0404
A0302,2,4,3,2,3,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
A0303,2,4,3,3,3,2,4,2,3,3,3,3,3,3,4,4,4,4,2,2,3,3,3,4,3,4,4,4,3,3,3,3,3,3,3,3,2,4,3,4,3,3,3,4,4,4,4,4,3,4,4,4,4,4,3,3,4,4,3,3,3,4
A0310,2,4,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3
A0311,2,4,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,3,3,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3
A0312,2,4,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3
B0101,1,4,3,3,3,3,3,3,4,4,4,4,3,3,2,2,1,2,3,1,2,3,3,3,2,3,3,3,2,1,1,1,1,2,3,3,1,1,2,3,3,3,3,1,3,2,3,1,2,3,3,3,3,3,3,2,3,3,3,3,3,3
B0104,1,1,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,3,3,3,3,4,3,3,4,4,4,4,3,4,4,4,4,4,3,4,4,4,4,4,4,3,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4
B0105,2,4,3,3,4,3,3,3,4,4,4,4,3,3,4,3,3,4,3,3,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,3,3,4,4,4,4,4,4,4,3,4,3,3,4,4,4,4,4,3,4,4,4,4,4,4,4
B0107,1,2,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,4,4,3,3,3,4,3,4,4,3,4,4,4,4,4,4,4,3,3,3,4,3,3,3,3,4,3,4,4,3,3,3,4,4,4,4,3
B0202,1,2,4,4,3,4,4,3,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4
B0204,2,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
B0205,2,4,3,3,3,2,2,2,4,4,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,3,2,2,3,3,3,2,3,3,3,3,3,3,4,3,3,3,2,4,3,3,2,3,4,3,4,3,3,3,3,3,3,3,3,3,3
B0206,2,4,3,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3
B0207,2,4,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,3,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,3,3,3,4,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4
B0211,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
B0213,1,4,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,4,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3
B0301,2,4,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
B0302,1,4,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,2,3,3,4,3,3,3,3,3,3,3,3,3,3,3
B0304,2,4,3,3,4,3,3,3,4,4,4,4,3,4,4,4,3,3,3,2,4,4,3,4,3,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,3,3,4,4,3,3,4,4,4,3,4,4,4,4,4,4,3,4,4
B0403,2,4,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3
B0405,2,4,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,4,4,4,3,3,3,3,3,3,3,3
B0407,2,4,2,2,3,3,2,2,3,3,3,3,3,3,3,3,4,3,2,2,3,2,3,2,2,2,3,3,3,3,3,3,3,3,3,2,3,3,3,4,4,4,3,2,3,2,3,2,2,3,3,3,3,3,3,3,3,3,3,2,3,3
B0408,2,2,3,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3
B0410,1,2,4,4,3,3,3,4,4,4,4,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
B0411,1,2,3,3,3,3,3,2,3,3,3,3,3,4,4,4,4,4,4,3,4,3,4,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,4,3,3,3,3,4,3,3,3,3,4,4,4
B0501,1,4,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
B0503,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,4,4,3,3,3,3,3,3,4,3,3,3,3
B0504,2,2,3,2,3,3,3,1,3,3,3,3,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,4,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,3,4,3
B0601,2,4,3,2,3,2,3,3,4,3,4,4,4,4,3,3,2,3,3,2,1,3,3,3,4,3,4,3,4,3,3,4,3,4,4,3,3,3,3,4,3,3,3,4,3,3,4,3,4,4,3,3,4,4,4,3,4,3,3,3,4,3
B0607,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,3,3,3,3,3,3,4,4,4,4,3,3,3,4,4,4,4,4,4,4,3,3,3,3,3,4,4,4,4,3,3,3,3
B0613,1,2,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,4,4,4,4,4,4,4,4,4
B0702,1,4,2,2,2,3,3,2,3,2,3,3,3,2,3,2,3,3,2,3,3,3,3,3,2,2,2,4,4,2,3,2,4,3,2,2,3,4,2,3,2,4,2,3,2,3,4,3,2,2,3,4,4,3,2,3,4,3,2,3,4,3
B0704,2,4,3,2,3,2,2,2,3,3,3,4,2,3,3,2,3,3,3,3,4,3,2,2,3,3,3,3,2,3,3,3,2,2,4,4,3,3,3,3,3,4,2,3,3,3,4,3,2,3,3,3,4,2,3,2,3,4,3,3,4,4
C0102,2,2,3,2,3,3,3,3,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,2,3,3,3,2,3,3,3,3,2,2,3,2,3,2,3,3,3,3,3,3,3,3,2,3,4,4,4,3,3,4,4,4,4,4,3,4,3
C0203,2,4,3,4,4,4,4,3,3,3,3,3,3,3,4,4,4,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,3,4,4,4,4,4,4,3,3,3,3,3,3,4,3
C0205,2,4,3,3,3,4,3,3,4,4,4,3,3,3,4,4,4,4,4,4,4,3,4,3,2,3,3,4,4,4,4,4,4,3,4,4,4,4,4,4,4,3,4,4,4,3,3,2,3,3,4,3,3,4,3,3,2,3,3,4,4,4
C0208,2,1,3,3,4,3,3,3,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,4,3,4,3,3,3,4,3,3,3,3,4,3,3,3,3,4,3,3,4,3,3,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4
C0302,1,4,3,3,3,4,3,4,3,3,4,4,4,3,3,3,3,3,3,3,3,3,3,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,3,4,4,3,4,4,4,4,4,4,3,4,3,4
C0305,2,4,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
C0402,2,2,3,3,3,4,3,3,3,3,4,3,3,3,4,3,3,4,3,3,3,3,3,4,3,3,4,3,4,3,4,4,4,3,3,3,3,4,4,4,4,4,3,4,3,3,4,4,3,4,4,4,3,3,3,4,3,4,3,3,3,4
C0403,2,1,3,3,4,4,3,3,4,3,3,4,3,3,2,2,4,3,3,3,4,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3
C0404,2,4,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,3,3,3,3,3,3,3,3,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,3,3,4,3
C0701,2,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
C0703,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
C0704,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
C0706,2,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3
C0805,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
C0901,2,2,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,4,3,3,3,3
C0902,2,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
C1003,1,4,3,3,3,2,3,2,3,3,3,4,3,3,2,3,2,3,2,1,2,2,2,2,3,3,2,3,3,2,3,4,3,3,3,3,2,3,3,4,4,4,2,2,2,2,3,3,3,3,4,3,2,3,3,3,3,3,3,3,3,4
C1101,2,4,4,4,4,4,4,4,4,3,3,3,4,4,4,4,4,4,4,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,3,3,4,4,4,4,3,4,3,4,4,4,4,4,4
C1201,1,1,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
C1203,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,3,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,2,2,3,3,3,3,3,3,2,2,3,3
C1204,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3
C1205,1,4,3,3,4,3,3,3,3,3,4,3,3,3,3,3,3,4,3,3,3,4,3,3,4,3,3,3,4,3,4,3,3,4,3,3,4,3,3,3,3,3,3,4,3,3,4,3,3,3,3,3,4,3,3,3,4,4,3,4,3,3
C1207,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,3,4,4,4,4,4,3,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4
C1210,1,3,4,4,4,4,4,4,4,4,4,3,4,4,4,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
C1301,1,4,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,2,2,3,3,3,3,4,4,4,3,3,4,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3
C1302,2,4,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,4,3,3,2,3,3,3,3,4,3,3,3,4,4,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,4,3,3,3,3,3,3,4,4,3,3,3,3,3
C1303,2,4,3,3,3,4,3,4,3,3,4,3,3,4,3,3,3,4,3,3,4,3,3,3,2,3,3,3,3,3,3,4,4,3,4,3,3,3,3,3,4,4,3,3,3,3,3,3,4,3,4,4,4,3,3,4,3,3,3,4,4,3
C1309,1,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,4,4,4,4,4,4,4,3,4,4,3,3,3,3,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
C1402,1,2,3,3,4,3,3,3,4,3,4,4,3,4,4,4,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,4,4,3,3,3,4,4,2,3,4,4,3,3,4,4,4,3,3,3,3,3,4
C1404,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
C1406,2,4,3,3,3,2,3,2,3,3,3,3,3,3,3,3,2,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3
C1407,2,4,3,2,3,2,3,2,3,3,3,3,3,3,3,4,3,4,3,2,3,3,3,3,3,3,4,3,3,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,4,3,3,3,3,3,3,3,3
C1409,1,3,4,4,4,4,3,3,3,3,4,4,4,4,3,3,3,3,3,3,3,4,4,4,3,4,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,4,4,4,4,4,4,3,3,4,3,4,3,3,4
C1501,2,2,4,4,4,4,4,3,4,3,4,4,4,3,4,4,4,4,3,3,3,4,4,3,4,4,4,3,3,4,4,4,3,4,4,3,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4
C1502,2,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,4,3,3,4,3,3,3,3
C1506,2,4,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3
C1508,1,2,4,4,4,4,4,4,3,4,4,2,3,3,3,4,4,3,3,2,3,3,3,3,3,3,4,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,3,3,4,4,4,3,4,2,3,3,3,3,4
C1601,1,1,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,4,3,3,3,3,3,3,3,3
C1602,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
C1605,1,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
C1701,2,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,4,3,4,3,4,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
C1703,1,1,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
C1704,2,4,3,3,3,3,3,3,4,4,4,4,4,4,3,3,3,3,3,2,3,3,3,3,3,3,3,3,4,3,3,3,3,4,4,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
C1705,2,4,3,3,3,3,3,3,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
C1801,1,4,3,3,3,3,3,4,3,3,4,4,4,4,3,3,3,3,3,3,4,3,4,3,3,3,3,4,4,3,4,3,3,3,4,4,3,3,3,4,4,4,3,3,3,4,3,4,4,3,3,3,3,3,4,3,4,3,3,4,4,3
C1804,1,1,4,4,4,4,4,4,3,4,4,4,4,4,4,4,3,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,3,4,4,4,4,4,3,3,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,3,4
C1902,2,4,3,3,3,3,3,3,3,4,3,3,3,3,4,4,4,4,3,3,3,3,3,4,4,3,4,3,4,4,3,4,4,3,3,2,3,3,3,4,4,4,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,4,3,2,3,3
C1905,1,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3
C1906,2,4,3,3,4,4,4,4,4,4,4,3,3,3,3,3,4,4,4,2,4,4,4,4,4,4,4,4,4,3,4,3,4,4,4,4,4,3,4,4,4,4,4,4,4,3,3,3,4,4,3,3,4,3,3,3,3,4,3,3,3,4
C1907,1,2,4,3,3,4,3,2,3,3,3,4,3,3,4,4,3,4,2,2,3,3,3,3,3,3,4,3,2,4,3,4,3,4,4,3,4,4,4,4,3,3,2,3,3,2,4,1,4,4,3,4,4,4,3,3,4,3,3,3,3,3
C1909,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,4,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,4,4
C2001,2,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3
C2005,2,4,2,3,2,3,2,2,3,3,3,3,2,3,2,2,3,2,2,3,3,2,2,3,2,3,2,3,3,2,3,3,3,2,3,2,2,2,2,3,2,3,3,2,3,3,3,2,3,3,2,3,3,3,3,2,3,3,3,2,3,3
C2101,2,4,3,3,3,2,3,2,4,4,4,4,4,4,3,3,3,3,3,2,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3
C2102,2,2,3,3,4,4,3,3,3,3,4,3,4,4,4,4,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,3,3
C2103,2,4,3,3,3,3,3,3,3,4,4,3,3,3,4,4,4,3,3,2,3,3,3,3,2,3,3,3,3,4,4,4,3,3,3,3,3,3,3,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
C2104,2,4,2,2,3,3,3,2,4,4,4,4,4,4,3,3,3,3,2,2,2,3,3,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,4,3,3,3,3,4,3,3,3,4,3,3,3,3,3,3
C2106,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
C2107,2,4,3,2,3,2,3,2,3,3,3,3,3,2,2,2,3,3,2,2,3,2,3,3,2,3,3,3,3,3,3,3,3,3,3,2,2,2,2,3,3,2,3,2,3,2,2,2,2,3,3,3,3,2,3,3,3,3,3,2,2,3
C2203,1,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
C2205,2,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
C2302,2,3,4,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,3,4,3,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,2,3,3,3,3,4,3,4,4,3,4,3,3,3,3
